Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
11/7/2013,73.21286,131.509995,35.110001,18.58,343.559998,180,139.770004,502.093018,47.560001,44.900002,46.694286,1747.150024
11/8/2013,74.365715,133.490005,35.169998,19.09,350.309998,179.990005,137.949997,506.11795,47.529999,41.650002,47.842857,1770.609985
11/11/2013,74.150002,132.529999,35.029999,19.200001,354.380005,182.880005,144.699997,503.408112,46.200001,42.900002,48.272858,1771.890015
11/12/2013,74.28714,132.330002,35.169998,19.26,349.529999,183.070007,137.800003,504.000885,46.610001,41.900002,47.675713,1767.689941
11/13/2013,74.375717,133.169998,35.07,19.700001,356.220001,183.550003,138.699997,514.307251,48.709999,42.599998,47.897144,1782
11/14/2013,75.451431,135.089996,35.16,19.559999,367.399994,182.210007,137.600006,515.682068,48.990002,44.689999,48.938572,1790.619995
11/15/2013,74.998573,136.080002,35.43,19.450001,369.170013,183.190002,135.449997,514.85022,49.009998,43.98,49.965714,1798.180054
11/18/2013,74.089996,138.360001,35.599998,19.25,366.179993,184.470001,121.580002,513.848938,45.830002,41.139999,48.824287,1791.530029
11/19/2013,74.221428,136.979996,35.720001,18.57,364.940002,185.25,126.089996,510.685822,46.360001,41.75,48.184284,1787.869995
11/20/2013,73.571426,132.449997,35.400002,18.440001,362.570007,185.190002,121.110001,509.246216,46.43,41.049999,48.502857,1781.369995
11/21/2013,74.44857,132.929993,35.299999,18.889999,368.920013,184.130005,122.099998,515.104248,46.700001,42.060001,49.785713,1795.849976
11/22/2013,74.257141,135.970001,35.419998,18.82,372.309998,181.300003,121.379997,514.018311,46.23,41,49.692856,1804.76001
11/25/2013,74.82,133,35.369999,18.84,376.640015,178.940002,120.839996,521.012146,44.82,39.060001,50.034286,1802.47998
11/26/2013,76.199997,134.779999,35.279999,18.83,381.369995,177.309998,120.5,527.228821,45.889999,40.18,50.742859,1802.75
11/27/2013,77.994286,134.720001,35.41,19.18,386.709991,178.970001,126.940002,529.570068,46.490002,40.900002,51.784286,1807.22998
11/29/2013,79.438568,134.25,35.209999,19.190001,393.619995,179.679993,127.279999,527.816589,47.009998,41.57,52.257141,1805.810059
12/2/2013,78.747147,134.160004,34.799999,19.23,392.299988,177.479996,124.169998,525.271179,47.060001,40.779999,51.988571,1800.900024
12/3/2013,80.902855,132,34.740002,19.26,384.660004,176.080002,144.699997,524.663452,46.73,41.369999,51.848572,1795.150024
12/4/2013,80.714287,131.5,34.599998,19.709999,385.959991,175.740005,138.949997,527.114258,48.619999,43.689999,50.895714,1792.810059
12/5/2013,81.128571,132.729996,34.25,19.690001,384.48999,176.080002,140.479996,526.695801,48.34,45.619999,51.151428,1785.030029
12/6/2013,80.002853,135.179993,34.529999,20.17,386.950012,177.669998,137.360001,532.937439,47.939999,44.950001,50.634285,1805.089966
12/9/2013,80.918571,134.679993,34.689999,20.73,384.890015,177.460007,141.600006,537.057007,48.84,49.139999,50.810001,1808.369995
12/10/2013,80.792854,133.699997,34.400002,20.860001,387.779999,177.119995,142.190002,540.30481,50.25,51.990002,51.871429,1802.619995
12/11/2013,80.194283,132.559998,33.950001,20.59,382.190002,175.199997,139.649994,536.633545,49.380001,52.34,51.997143,1782.219971
12/12/2013,80.077141,132.960007,33.889999,20.83,381.25,173.369995,147.470001,532.982239,51.830002,55.330002,53.332859,1775.5
12/13/2013,79.204285,133.830002,33.849998,21.200001,384.23999,172.800003,147.649994,528.414368,53.32,59,52.709999,1775.319946
12/16/2013,79.64286,134.720001,34.150002,21.709999,388.970001,177.850006,147.940002,534.486633,53.810001,56.610001,52.330002,1786.540039
12/17/2013,79.284286,135.880005,33.849998,22.219999,387.649994,175.759995,152.460007,532.932434,54.860001,56.450001,53.552856,1781
12/18/2013,78.681427,135.490005,34.380001,22.65,395.959991,178.699997,147.979996,540.349609,55.57,55.509998,53.748573,1810.650024
12/19/2013,77.779999,135.169998,34.450001,22.610001,395.190002,180.220001,140.720001,541.081909,55.049999,57.490002,53.82,1809.599976
12/20/2013,78.431427,136.669998,34.299999,22.719999,402.200012,180.020004,143.240005,548.255005,55.119999,60.009998,53.667141,1818.319946
